avg_pitch,avg_duration,avg_velocity,total_notes,pitch_variance,velocity_variance,pitch_range,note_density,tempo,rhythm_std,melodic_complexity,emotion,feature_vector,composer,title,midi_path
65.15,0.4,64.9,4197,170.19,364.78,75,5.96,187.51,0.65,11.29,Calm,"{'avg_pitch': np.float64(65.15), 'avg_duration': np.float64(0.4), 'avg_velocity': np.float64(64.9), 'pitch_variance': np.float64(170.19), 'velocity_variance': np.float64(364.78), 'pitch_range': np.int64(75), 'note_density': np.float64(5.96), 'tempo': np.float64(187.51), 'rhythm_std': np.float64(0.65), 'melodic_complexity': np.float64(11.29), 'total_notes': 4197}",Alban Berg,Sonata Op. 1,2018/MIDI-Unprocessed_Chamber3_MID--AUDIO_10_R3_2018_wav--1.midi
65.25,0.53,70.32,4206,169.67,566.02,75,5.5,166.19,0.61,11.54,Calm,"{'avg_pitch': np.float64(65.25), 'avg_duration': np.float64(0.53), 'avg_velocity': np.float64(70.32), 'pitch_variance': np.float64(169.67), 'velocity_variance': np.float64(566.02), 'pitch_range': np.int64(75), 'note_density': np.float64(5.5), 'tempo': np.float64(166.19), 'rhythm_std': np.float64(0.61), 'melodic_complexity': np.float64(11.54), 'total_notes': 4206}",Alban Berg,Sonata Op. 1,2008/MIDI-Unprocessed_03_R2_2008_01-03_ORIG_MID--AUDIO_03_R2_2008_wav--2.midi
66.0,0.37,67.9,3326,186.73,529.22,75,7.14,195.59,0.46,11.44,Calm,"{'avg_pitch': np.float64(66.0), 'avg_duration': np.float64(0.37), 'avg_velocity': np.float64(67.9), 'pitch_variance': np.float64(186.73), 'velocity_variance': np.float64(529.22), 'pitch_range': np.int64(75), 'note_density': np.float64(7.14), 'tempo': np.float64(195.59), 'rhythm_std': np.float64(0.46), 'melodic_complexity': np.float64(11.44), 'total_notes': 3326}",Alban Berg,Sonata Op. 1,2017/MIDI-Unprocessed_066_PIANO066_MID--AUDIO-split_07-07-17_Piano-e_3-02_wav--3.midi
60.58,0.29,62.95,6316,169.85,468.75,81,7.24,202.21,0.47,12.44,Calm,"{'avg_pitch': np.float64(60.58), 'avg_duration': np.float64(0.29), 'avg_velocity': np.float64(62.95), 'pitch_variance': np.float64(169.85), 'velocity_variance': np.float64(468.75), 'pitch_range': np.int64(81), 'note_density': np.float64(7.24), 'tempo': np.float64(202.21), 'rhythm_std': np.float64(0.47), 'melodic_complexity': np.float64(12.44), 'total_notes': 6316}",Alexander Scriabin,"24 Preludes Op. 11, No. 13-24",2004/MIDI-Unprocessed_XP_21_R1_2004_01_ORIG_MID--AUDIO_21_R1_2004_01_Track01_wav.midi
68.43,0.13,65.01,4019,205.55,413.97,83,10.06,204.55,0.32,13.51,Happy,"{'avg_pitch': np.float64(68.43), 'avg_duration': np.float64(0.13), 'avg_velocity': np.float64(65.01), 'pitch_variance': np.float64(205.55), 'velocity_variance': np.float64(413.97), 'pitch_range': np.int64(83), 'note_density': np.float64(10.06), 'tempo': np.float64(204.55), 'rhythm_std': np.float64(0.32), 'melodic_complexity': np.float64(13.51), 'total_notes': 4019}",Alexander Scriabin,"3 Etudes, Op. 65",2006/MIDI-Unprocessed_17_R1_2006_01-06_ORIG_MID--AUDIO_17_R1_2006_04_Track04_wav.midi
65.34,0.38,60.34,2354,125.48,315.67,69,5.88,199.02,0.5,11.48,Calm,"{'avg_pitch': np.float64(65.34), 'avg_duration': np.float64(0.38), 'avg_velocity': np.float64(60.34), 'pitch_variance': np.float64(125.48), 'velocity_variance': np.float64(315.67), 'pitch_range': np.int64(69), 'note_density': np.float64(5.88), 'tempo': np.float64(199.02), 'rhythm_std': np.float64(0.5), 'melodic_complexity': np.float64(11.48), 'total_notes': 2354}",Alexander Scriabin,"5 Preludes, Op.15",2009/MIDI-Unprocessed_07_R1_2009_04-05_ORIG_MID--AUDIO_07_R1_2009_07_R1_2009_04_WAV.midi
79.51,0.41,58.78,721,115.33,327.89,62,4.4,193.74,0.93,6.69,Calm,"{'avg_pitch': np.float64(79.51), 'avg_duration': np.float64(0.41), 'avg_velocity': np.float64(58.78), 'pitch_variance': np.float64(115.33), 'velocity_variance': np.float64(327.89), 'pitch_range': np.int64(62), 'note_density': np.float64(4.4), 'tempo': np.float64(193.74), 'rhythm_std': np.float64(0.93), 'melodic_complexity': np.float64(6.69), 'total_notes': 721}",Alexander Scriabin,"Entragete, Op.63",2009/MIDI-Unprocessed_11_R1_2009_06-09_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_07_WAV.midi
63.1,0.25,70.21,5362,162.05,380.61,77,9.49,197.03,0.35,12.41,Calm,"{'avg_pitch': np.float64(63.1), 'avg_duration': np.float64(0.25), 'avg_velocity': np.float64(70.21), 'pitch_variance': np.float64(162.05), 'velocity_variance': np.float64(380.61), 'pitch_range': np.int64(77), 'note_density': np.float64(9.49), 'tempo': np.float64(197.03), 'rhythm_std': np.float64(0.35), 'melodic_complexity': np.float64(12.41), 'total_notes': 5362}",Alexander Scriabin,"Etude Op. 2 No.1;  Etudes Op. 8, Nos. 5, 11 and 12",2013/ORIG-MIDI_03_7_8_13_Group__MID--AUDIO_19_R2_2013_wav--3.midi
64.26,0.37,47.02,783,100.97,277.53,57,5.55,212.79,0.41,11.33,Calm,"{'avg_pitch': np.float64(64.26), 'avg_duration': np.float64(0.37), 'avg_velocity': np.float64(47.02), 'pitch_variance': np.float64(100.97), 'velocity_variance': np.float64(277.53), 'pitch_range': np.int64(57), 'note_density': np.float64(5.55), 'tempo': np.float64(212.79), 'rhythm_std': np.float64(0.41), 'melodic_complexity': np.float64(11.33), 'total_notes': 783}",Alexander Scriabin,"Etude Op. 42, Nos. 4 & 5",2009/MIDI-Unprocessed_02_R1_2009_03-06_ORIG_MID--AUDIO_02_R1_2009_02_R1_2009_04_WAV.midi
59.83,0.11,64.97,2828,172.89,362.59,71,16.81,214.37,0.22,13.17,Calm,"{'avg_pitch': np.float64(59.83), 'avg_duration': np.float64(0.11), 'avg_velocity': np.float64(64.97), 'pitch_variance': np.float64(172.89), 'velocity_variance': np.float64(362.59), 'pitch_range': np.int64(71), 'note_density': np.float64(16.81), 'tempo': np.float64(214.37), 'rhythm_std': np.float64(0.22), 'melodic_complexity': np.float64(13.17), 'total_notes': 2828}",Alexander Scriabin,"Etude Op. 8, No. 13",2009/MIDI-Unprocessed_02_R1_2009_03-06_ORIG_MID--AUDIO_02_R1_2009_02_R1_2009_05_WAV.midi
